diffNuisances run on fitDiagnosticsTest.root, at 2021-12-13 08:36:43.973077 with the following options ... {'absolute_values': False, 'show_all_parameters': True, 'format': 'text', 'stol2': 0.5, 'pullDef': '', 'vtol': 0.3, 'stol': 0.1, 'plotfile': 'plots.root', 'skipFitB': False, 'sortBy': 'correlation', 'vtol2': 2.0, 'poi': 'r', 'skipFitS': False}

stat2016_fake_SRB12                              -0.51, 0.73     * +0.00, 0.86*     *-0.02*      -0.001
stat2016_DY_SRB2                                 +0.86, 1.07     * -0.00, 1.00*       -0.02      -0.001
MuTau_stat18_sig_SRB6                            -0.00, 1.00        +0.00, 0.98       +0.02      +0.002
MuTau_stat18_TT_SRB6                             -0.24, 0.98        +0.00, 0.98       +0.02      +0.002
MuTau_stat18_TT_SRB10                            +0.28, 0.99        -0.00, 0.99       -0.02      -0.001
MuTau_stat18_ST_SRB5                             +0.04, 1.00        +0.00, 1.00       -0.02      -0.002
MuTau_stat18_Fake_SRB6                           -0.31, 0.97     * +0.00, 0.98*       +0.02      +0.001
MuTau_stat18_Fake_SRB5                           +0.69, 0.83     * +0.00, 0.99*       -0.02      -0.002
MuTau_stat18_Fake_SRB2                           +0.18, 0.97        -0.00, 0.99       -0.02      -0.002
MuTau_stat18_Fake_SRB14                          +0.61, 0.98     * -0.00, 0.99*       -0.02      -0.001
MuTau_stat18_Fake_SRB10                          +0.66, 0.95     * -0.00, 0.99*       -0.02      -0.002
MuTau_stat17_sig_SRB2                            -0.00, 1.00        -0.00, 0.96       -0.02      -0.002
MuTau_stat17_sig_SRB10                           -0.00, 1.00        -0.00, 0.93       +0.02      +0.001
MuTau_stat17_sig_SRB1                            -0.00, 1.00        -0.00, 0.97       -0.02      -0.001
MuTau_stat17_TT_SRB9                             +0.57, 0.91     * +0.00, 0.93*       -0.02      -0.002
MuTau_stat17_TT_SRB6                             -0.54, 0.91     * +0.00, 0.93*       +0.02      +0.001
MuTau_stat17_TT_SRB2                             +0.13, 0.93        -0.00, 0.94       -0.02      -0.002
MuTau_stat17_OtherSM_SRB4                        +0.69, 1.05     * +0.00, 0.99*       -0.02      -0.002
MuTau_stat17_Fake_SRB4                           +0.82, 1.00     * +0.00, 0.99*       -0.02      -0.001
MuTau_stat16_sig_SRB9                            -0.00, 1.00        +0.00, 0.91       -0.02      -0.002
MuTau_stat16_sig_SRB3                            -0.00, 1.00        +0.00, 0.93       -0.02      -0.001
MuTau_stat16_sig_SRB1                            -0.00, 1.00        -0.00, 0.98       +0.02      +0.002
MuTau_stat16_TT_SRB9                             +0.30, 0.92     * +0.00, 0.93*       -0.02      -0.001
MuTau_stat16_TT_SRB3                             +0.17, 0.93        +0.00, 0.93       -0.02      -0.001
EleTau_stat18_sig_SRB9                           -0.00, 1.00        -0.00, 0.90       -0.02      -0.002
EleTau_stat18_sig_SRB7                           -0.00, 1.00        +0.00, 0.98       +0.02      +0.001
EleTau_stat18_TT_SRB5                            +0.31, 1.00     * +0.00, 0.99*       -0.02      -0.002
EleTau_stat18_TT_SRB1                            -0.28, 0.99        -0.00, 0.99       +0.02      +0.002
EleTau_stat18_ST_SRB6                            -0.13, 0.99        -0.00, 0.99       +0.02      +0.002
EleTau_stat18_ST_SRB5                            +0.15, 1.01        +0.00, 0.99       -0.02      -0.002
EleTau_stat18_ST_SRB1                            -0.13, 0.99        -0.00, 1.00       +0.02      +0.001
EleTau_stat18_Fake_SRB5                          +1.41, 0.85     * +0.00, 0.99*       -0.02      -0.002
EleTau_stat18_Fake_SRB1                          -0.32, 0.98     * -0.00, 0.99*       +0.02      +0.002
EleTau_stat17_TT_SRB6                            -0.46, 0.91     * -0.00, 0.92*       +0.02      +0.002
EleTau_stat17_TT_SRB5                            +0.24, 0.95        +0.00, 0.97       -0.02      -0.001
EleTau_stat17_TT_SRB1                            -0.31, 0.93     * +0.00, 0.95*       +0.02      +0.001
EleTau_stat17_ST_SRB4                            +0.23, 1.01        +0.00, 0.99       -0.02      -0.001
EleTau_stat17_Fake_SRB7                          -0.30, 0.97     * -0.00, 0.98*       +0.02      +0.002
EleTau_stat17_Fake_SRB4                          +0.64, 1.00     * +0.00, 0.99*       -0.02      -0.001
EleTau_stat16_sig_SRB4                           -0.00, 1.00        -0.00, 0.89     *-0.02*      -0.002
EleTau_stat16_sig_SRB2                           -0.00, 1.00        -0.00, 0.96       -0.02      -0.001
EleTau_stat16_TT_SRB8                            -0.09, 0.93        +0.00, 0.97       -0.02      -0.001
EleTau_stat16_TT_SRB2                            +0.34, 0.93     * -0.00, 0.93*       -0.02      -0.002
EleTau_stat16_Fake_SRB5                          +0.98, 0.93     * +0.00, 0.99*       -0.02      -0.002
syst2018_tauES                                   -1.28, 0.35     ! +0.00, 0.46!     !-0.01!      -0.000
syst2018_eleFastSim                              +0.00, 1.00        -0.00, 1.00       -0.01      -0.001
syst2016_bTaggingSF                              +0.30, 1.00     * -0.00, 0.99*       -0.01      -0.001
syst2016_ZpTreweight                             +0.22, 1.00        -0.00, 1.00       -0.01      -0.000
stat2018_sig_SRB6                                +0.00, 1.00        -0.00, 0.95       +0.01      +0.001
stat2018_sig_SRB15                               +0.00, 1.00        -0.00, 0.88     *+0.01*      +0.001
stat2018_sig_SRB12                               +0.00, 1.00        -0.00, 0.99       +0.01      +0.001
stat2018_sig_SRB11                               +0.00, 1.00        +0.00, 0.98       -0.01      -0.001
stat2018_otherSM_SRB5                            +0.01, 1.00        +0.00, 1.00       -0.01      -0.000
stat2018_otherSM_SRB4                            +0.24, 1.02        +0.00, 1.00       -0.01      -0.001
stat2018_otherSM_SRB3                            +0.09, 1.01        +0.00, 1.00       -0.01      -0.000
stat2018_fake_SRB5                               +1.51, 0.21     ! +0.00, 1.00!       -0.01      -0.001
stat2018_fake_SRB10                              -0.05, 0.75     * +0.00, 0.98*       -0.01      -0.001
stat2018_fake_SRB1                               -0.89, 0.80     * +0.00, 0.78*     *+0.01*      +0.001
stat2018_TT_SRB4                                 +0.13, 1.00        +0.00, 1.00       -0.01      -0.001
